Date,total_transaction_count,total_value_per_day,avg_value_per_transaction,total_gas_per_day,avg_gas_price_per_day,total_gas_used_per_day,avg_gas_used_per_transaction,total_transaction_fee,avg_transaction_fee_per_transaction,total_priority_fee,avg_priority_fee_per_transaction
2021-11-13,2026474,1013900751878517907022978,500327540288460600.54211305,890102184534,136944509511.9101,602547279638,297337.7796300372,250310480067265443,123520203105.13011,31928059632045639,15755474598.759047
2021-11-14,2048016,1127816347229844307781704,550687273551497794.832513027,926468991570,119247296239.76909,652292670776,318499.79237271583,221356280715911024,108083277042.71404,28794389497197015,14059650655.657484
2021-11-15,1935278,1406870901302617910404488,726960623384659935.370777738,882633277859,157612534605.33569,591999944271,305899.17534896795,279800122485546526,144578774979.89774,33385369719795320,17250942613.823605
2021-11-16,1960870,2336415496012248177367647,1191519833549520456.413554698,887651965509,151757663672.89206,593222823832,302530.41957498458,273151119204395154,139300983341.26953,34477830339913731,17582925099.529156
2021-11-17,1944465,2765204973825045049949627,1422090381583132146.86282705,1177088632984,137845104508.96722,822432583228,422960.85721676657,247892380378345089,127486162198.00566,28843442160399531,14833613441.434807
2021-11-18,2005553,2248964775028493194376992,1121368906744670020.875535077,874443832178,150524361761.31116,575755341465,287080.59147028276,273365985098820440,136304542985.81012,34164675433435163,17035039928.3565
2021-11-19,1917358,1631916097559507173824441,851127487698962412.770302155,876896042164,130233238736.71469,594690107274,310161.22564174247,235366791771499623,122755787793.15059,28531442107811258,14880602426.782717
2021-11-20,1996201,1162406166647669316567055,582309179610504812.174252493,1307160706027,109872655671.43431,999490791914,500696.46889967495,208221003554602884,104308636031.44316,23608990767624857,11826960695.653822
2021-11-21,2033862,1119097873750594791049888,550232942918740205.112189519,1261966448598,111458091195.08693,929270246037,456899.35995510023,209411843139177343,102962660760.25676,25419096940076662,12497945750.536007
2021-11-22,1870689,1821814029601609463991511,973873278562930270.072423048,960155550089,151686728244.19974,660394081045,353021.8443819363,267348361968069994,142914381796.26331,30708701839534623,16415717331.707527
2021-11-23,1904556,1677229071932603299044704,880640459998342552.828430353,824239049598,140437277085.95538,541412187976,284272.12850449135,250136613841168413,131335919679.53078,33687853405784717,17688035114.632866
